http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-501-fra.html,2016-2017,t2,Nathalie Leclaire,P170083,2016-07-01,0494 Services de traduction,2016-07-01 à 2017-06-30,"25 000,00 $",Le présent marché a été adjugé dans le cadre d'un concours.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-502-fra.html,2016-2017,t2,Traductions Zénith Translations inc.,P170084,2016-07-01,0494 Services de traduction,2016-07-01 à 2017-06-30,"20 000,00 $",Le présent marché a été adjugé dans le cadre d'un concours.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-503-fra.html,2016-2017,t2,Aline Barnoti,P170085,2016-07-01,0494 Services de traduction,2016-07-01 à 2017-06-30,"10 000,00 $",Le présent marché a été adjugé dans le cadre d'un concours.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-504-fra.html,2016-2017,t2,COM ça,P170086,2016-07-01,0494 Services de traduction,2016-07-01 à 2017-06-30,"10 000,00 $",Le présent marché a été adjugé dans le cadre d'un concours.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-505-fra.html,2016-2017,t2,Jeannot Trudel,P170087,2016-07-01,0494 Services de traduction,2016-07-01 à 2017-06-30,"10 000,00 $",Le présent marché a été adjugé dans le cadre d'un concours.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-507-fra.html,2016-2017,t2,Survey Monkey Europe,P170098,2016-07-05,0582 Licences/maintenance des logiciels clients de l'environnement d'informatique répartie (EIR),2016-07-05 à 2017-06-30,"10 842,35 $",Le présent marché a été adjugé à un fournisseur unique.,Non
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-506-fra.html,2016-2017,t2,CBCI Telecom,P170095,2016-07-18,"1223 Équipement de communications images/vidéos (comprend le câblage, les pièces et les périphériques)",2016-07-18 à 2016-10-28,2016-10-28,"27 956,66 $",Le présent marché est une commande subséquente à un outil d'acquisition de Travaux public et Services gouvernementaux Canada.,Non
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-508-fra.html,2016-2017,t2,Orion Consulting Services,P170108,2016-07-20,0499 Autres services professionnels non précisés ailleurs,2016-07-20 à 2016-12-31,"24 806,25 $",Le présent marché a été adjugé dans le cadre d'un concours par un outil d'acquisition de Travaux public et Services gouvernementaux Canada.,Oui
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-509-fra.html,2016-2017,t2,Ottawa Marriott Hotel,P170121,2016-07-24,0822 Location de salle et Accueil,2016-07-24 à 2016-07-27,"12 318,07 $",Le présent marché a été adjugé à un fournisseur unique.,Non
http://www.swc-cfc.gc.ca/trans/account-resp/pd-dp/dc/2016-2017/con-500-fra.html,2016-2017,t2,altisHR,P170052-2,2016-07-26,0813 Services d'aide temporaire,2016-05-31 à 2016-09-02,"16 615,89 $",Le présent marché a été adjugé à un fourniseur unique par un outil d'acquisition de Travaux public et Services gouvernementaux Canada. Le présent marché comprend une modification ou plus.  Montant original 5 538.63$.,Non
